Loan ID,Borrower Name,City,Annual Income,Education,Profession,Total Loan Approved Amount,Total Amount Drawn,Exposure at Default,Recovery,Costs of Recovery,Probability of Default ,Internal Bank Rating,LGD,EL
L17,Name 17,Bangalore,637694,Post Graduate,Business in Auto Parts,81748,3339,61311,8174.8,81.748,20,BB,-5.92,-725.37
L18,Name 18,Bangalore,126943,Graduate,FreeLancer,67780,6068,50835,6778,67.78,60,BBB,-1.05,-319.5
L19,Name 19,Bangalore,420477,Ph.D,Non Profit Organization,96832,9881,72624,9683.2,96.832,55,BB,0.20,81.5925
L20,Name 20,Bangalore,788508,Post Graduate,Business in HealthCare,68159,5810,51119.25,6815.9,68.159,100,BBB,-1.48,-754.425
L21,Name 21,Bangalore,502632,Graduate,Private,64446,5550,48334.5,6444.6,64.446,51,BB,-1.39,-342.1845
L22,Name 22,Bangalore,488078,Ph.D,Business in Education,83554,7876,62665.5,8355.4,83.554,60,BBB,-0.57,-215.73
L23,Name 23,Bangalore,278246,Post Graduate,Government,49461,4294,37095.75,4946.1,49.461,46,BB,-1.32,-224.9745
L24,Name 24,Bangalore,580652,Graduate,FreeLancer,86199,1595,64649.25,8619.9,86.199,40,BBB,-8.15,-2107.47
L25,Name 25,Bangalore,646660,Ph.D,Doctor,28374,5673,21280.5,2837.4,28.374,78,BB,9.99,1658.826
L26,Name 26,Bangalore,664065,Post Graduate,Business in HealthCare,62519,7827,46889.25,6251.9,62.519,7,BBB,2.52,82.69275
L27,Name 27,Bangalore,982820,Graduate,Business in Textile,26534,2662,19900.5,2653.4,26.534,13,BB,0.03,0.8385
L28,Name 28,Bangalore,229827,Ph.D,Private,43623,4972,32717.25,4362.3,43.623,22,BBB,1.40,100.6005
L29,Name 29,Bangalore,145575,Post Graduate,Government,33166,1185,24874.5,3316.6,33.166,12,BB,-6.43,-191.844
L30,Name 30,Bangalore,947028,Graduate,Business in Auto Parts,82855,3211,62141.25,8285.5,82.855,74,BBB,-6.12,-2816.3475
L31,Name 31,Bangalore,414899,Ph.D,FreeLancer,86351,9765,64763.25,8635.1,86.351,94,BB,1.31,796.5795
L32,Name 32,Bangalore,764622,Post Graduate,Non Profit Organization,79078,2938,59308.5,7907.8,79.078,72,BBB,-6.28,-2683.692
L33,Name 33,Bangalore,426267,Graduate,Business in HealthCare,99499,1853,74624.25,9949.9,99.499,22,BB,-8.14,-1335.9885
L34,Name 34,Bangalore,366773,Ph.D,Private,70107,3957,52580.25,7010.7,70.107,87,BBB,-4.36,-1992.53925
L35,Name 35,Bangalore,846308,Post Graduate,Business in Education,35556,7474,26667,3555.6,35.556,83,BB,11.02,2439.204
L36,Name 36,Bangalore,678981,Graduate,Government,52411,2472,39308.25,5241.1,52.411,54,BBB,-5.28,-1121.4855
L37,Name 37,Bangalore,827577,Ph.D,FreeLancer,97471,8586,73103.25,9747.1,97.471,93,BB,-1.19,-809.86725
L38,Name 38,Bangalore,856873,Post Graduate,Doctor,74103,8057,55577.25,7410.3,74.103,24,BBB,0.87,116.406
L39,Name 39,Bangalore,529500,Graduate,Business in HealthCare,38296,6937,28722,3829.6,38.296,2,BB,8.11,46.611
L40,Name 40,Bangalore,842270,Ph.D,Business in Textile,58534,5793,43900.5,5853.4,58.534,19,BBB,-0.10,-8.607
L41,Name 41,Bangalore,469984,Post Graduate,Private,65820,4050,49365,6582,65.82,52,BB,-3.85,-987.48
L42,Name 42,Bangalore,153143,Graduate,Government,24469,9541,18351.75,2446.9,24.469,53,BBB,28.99,2819.90475
L43,Name 43,Bangalore,695072,Ph.D,Business in Auto Parts,39193,8148,29394.75,3919.3,39.193,98,BB,10.79,3108.0945
L44,Name 44,Bangalore,650056,Post Graduate,FreeLancer,26991,3303,20243.25,2699.1,26.991,60,BBB,2.24,271.755
L45,Name 45,Bangalore,403620,Graduate,Non Profit Organization,59261,3120,44445.75,5926.1,59.261,4,BB,-4.74,-84.183
L46,Name 46,Bangalore,893595,Ph.D,Business in HealthCare,30514,3986,22885.5,3051.4,30.514,10,BBB,3.06,70.095
L47,Name 47,Bangalore,486558,Post Graduate,Private,49435,5185,37076.25,4943.5,49.435,13,BB,0.49,23.54625
L48,Name 48,Bangalore,229085,Graduate,Business in Education,36204,9143,27153,3620.4,36.204,1,BBB,15.25,41.4195
L49,Name 49,Bangalore,944111,Ph.D,Government,94724,1228,71043,9472.4,94.724,54,BB,-8.70,-3338.982
L50,Name 50,Bangalore,147468,Post Graduate,FreeLancer,37893,8147,28419.75,3789.3,37.893,52,BBB,11.50,1699.503
L51,Name 51,Bangalore,634656,Graduate,Doctor,84330,5123,63247.5,8433,84.33,66,BB,-3.93,-1638.45
L52,Name 52,Bangalore,900204,Ph.D,Business in HealthCare,35129,6420,26346.75,3512.9,35.129,43,BBB,8.28,937.53975
L53,Name 53,Bangalore,392983,Post Graduate,Business in Textile,98049,6040,73536.75,9804.9,98.049,15,BB,-3.84,-423.55125
L54,Name 54,Bangalore,454747,Graduate,Private,30768,1133,23076,3076.8,30.768,86,BBB,-6.32,-1253.751
L55,Name 55,Bangalore,332319,Ph.D,Government,60786,7091,45589.5,6078.6,60.786,67,BB,1.67,508.731
L56,Name 56,Bangalore,472742,Post Graduate,Business in Auto Parts,31037,3926,23277.75,3103.7,31.037,72,BBB,2.65,444.042
L57,Name 57,Bangalore,936901,Graduate,FreeLancer,37320,7974,27990,3732,37.32,86,BB,11.37,2736.09
L58,Name 58,Bangalore,224906,Ph.D,Non Profit Organization,14958,2627,11218.5,1495.8,14.958,87,BBB,7.56,738.108
L59,Name 59,Bangalore,178453,Post Graduate,Business in HealthCare,98061,6254,73545.75,9806.1,98.061,27,BB,-3.62,-719.30025
L60,Name 60,Bangalore,820282,Graduate,Private,27532,3790,20649,2753.2,27.532,76,BBB,3.77,590.976
L61,Name 61,Bangalore,670934,Ph.D,Business in Education,62075,7376,46556.25,6207.5,62.075,79,BB,1.88,692.33625
L62,Name 62,Bangalore,579146,Post Graduate,Government,17273,3273,12954.75,1727.3,17.273,7,BBB,8.95,81.14925
L63,Name 63,Bangalore,273490,Graduate,FreeLancer,98324,9318,73743,9832.4,98.324,24,BB,-0.52,-92.592
L64,Name 64,Bangalore,512451,Ph.D,Doctor,81850,7875,61387.5,8185,81.85,65,BBB,-0.38,-151.125
L65,Name 65,Bangalore,757760,Post Graduate,Business in HealthCare,23098,8914,17323.5,2309.8,23.098,50,BB,28.59,2476.575
L66,Name 66,Bangalore,778414,Graduate,Business in Textile,87564,8925,65673,8756.4,87.564,83,BBB,0.19,104.9535
L67,Name 67,Bangalore,351216,Ph.D,Private,80690,7505,60517.5,8069,80.69,87,BB,-0.70,-368.01
L68,Name 68,Bangalore,183681,Post Graduate,Government,59253,8593,44439.75,5925.3,59.253,71,BBB,4.50,1420.55025
L69,Name 69,Bangalore,585654,Graduate,Business in Auto Parts,26472,9158,19854,2647.2,26.472,6,BB,24.60,292.986
L70,Name 70,Bangalore,950642,Ph.D,FreeLancer,46528,7167,34896,4652.8,46.528,87,BBB,5.40,1640.5155
L71,Name 71,Bangalore,724180,Post Graduate,Non Profit Organization,23759,1118,17819.25,2375.9,23.759,42,BB,-5.29,-396.2385
L72,Name 72,Bangalore,985133,Graduate,Business in HealthCare,70241,4524,52680.75,7024.1,70.241,6,BBB,-3.56,-112.5045
L73,Name 73,Bangalore,290329,Ph.D,Private,88789,8086,66591.75,8878.9,88.789,21,BB,-0.89,-124.88175
L74,Name 74,Bangalore,833731,Post Graduate,Business in Education,93891,1672,70418.25,9389.1,93.891,64,BBB,-8.22,-3704.208
L75,Name 75,Bangalore,898200,Graduate,Government,44628,8853,33471,4462.8,44.628,24,BB,9.84,790.236
L76,Name 76,Bangalore,225521,Ph.D,FreeLancer,96158,1822,72118.5,9615.8,96.158,18,BBB,-8.11,-1052.163
L77,Name 77,Bangalore,911898,Post Graduate,Doctor,42152,6408,31614,4215.2,42.152,46,BB,5.20,756.516
L78,Name 78,Bangalore,941841,Graduate,Business in HealthCare,45459,4076,34094.25,4545.9,45.459,67,BBB,-1.03,-236.12475
L79,Name 79,Bangalore,218185,Ph.D,Business in Textile,37349,9803,28011.75,3734.9,37.349,36,BB,16.25,1638.387
L80,Name 80,Bangalore,369812,Post Graduate,Private,41960,3993,31470,4196,41.96,62,BBB,-0.48,-94.395
L81,Name 81,Bangalore,217954,Graduate,Government,30219,7502,22664.25,3021.9,30.219,82,BB,14.83,2755.2615
L82,Name 82,Bangalore,834025,Ph.D,Business in Auto Parts,73923,5761,55442.25,7392.3,73.923,76,BBB,-2.21,-929.841
L83,Name 83,Bangalore,526423,Post Graduate,FreeLancer,35632,2985,26724,3563.2,35.632,70,BB,-1.62,-303.555
L84,Name 84,Bangalore,673883,Graduate,Non Profit Organization,60434,7259,45325.5,6043.4,60.434,60,BBB,2.01,547.02
L85,Name 85,Bangalore,792058,Ph.D,Business in HealthCare,41439,9689,31079.25,4143.9,41.439,29,BB,13.38,1206.05925
L86,Name 86,Bangalore,915959,Post Graduate,Private,69764,7204,52323,6976.4,69.764,98,BBB,0.33,167.286
L87,Name 87,Bangalore,821586,Graduate,Business in Education,67203,1959,50402.25,6720.3,67.203,58,BB,-7.08,-2071.1655
L88,Name 88,Bangalore,585808,Ph.D,Government,41992,2176,31494,4199.2,41.992,6,BBB,-4.82,-91.044
L89,Name 89,Bangalore,659103,Post Graduate,FreeLancer,13830,1491,10372.5,1383,13.83,64,BB,0.78,51.84
L90,Name 90,Bangalore,506034,Graduate,Doctor,85273,9709,63954.75,8527.3,85.273,18,BBB,1.39,159.5295
L91,Name 91,Bangalore,420152,Ph.D,Business in HealthCare,72698,6056,54523.5,7269.8,72.698,33,BB,-1.67,-300.4155
L92,Name 92,Bangalore,814831,Post Graduate,Business in Textile,74442,8530,55831.5,7444.2,74.442,45,BBB,1.46,366.4575
L93,Name 93,Bangalore,746476,Graduate,Private,81194,3559,60895.5,8119.4,81.194,56,BB,-5.62,-1915.368
L94,Name 94,Bangalore,947210,Ph.D,Government,11834,4377,8875.5,1183.4,11.834,55,BBB,26.99,1317.36
L95,Name 95,Bangalore,788999,Post Graduate,Business in Auto Parts,26966,2338,20224.5,2696.6,26.966,13,BB,-1.33,-34.9635
L96,Name 96,Bangalore,180872,Graduate,FreeLancer,15075,9328,11306.25,1507.5,15.075,66,BBB,51.88,3871.1475
L97,Name 97,Bangalore,109706,Ph.D,Non Profit Organization,63254,5222,47440.5,6325.4,63.254,29,BB,-1.74,-239.9895
L98,Name 98,Bangalore,848774,Post Graduate,Business in HealthCare,49845,2781,37383.75,4984.5,49.845,16,BBB,-4.42,-264.42
L99,Name 99,Bangalore,265351,Graduate,Private,79153,7142,59364.75,7915.3,79.153,76,BB,-0.98,-440.781
L100,Name 100,Bangalore,381580,Ph.D,Business in Education,40235,5147,30176.25,4023.5,40.235,75,BBB,2.79,631.96875
L101,Name 101,Bangalore,930992,Post Graduate,Government,88946,7241,66709.5,8894.6,88.946,1,BB,-1.86,-12.402
L102,Name 102,Bangalore,407684,Graduate,FreeLancer,17120,9638,12840,1712,17.12,99,BBB,46.30,5885.055
L103,Name 103,Bangalore,151304,Ph.D,Doctor,82501,9520,61875.75,8250.1,82.501,91,BB,1.54,866.70675
L104,Name 104,Bangalore,756207,Post Graduate,Business in HealthCare,37000,1142,27750,3700,37,89,BBB,-6.91,-1707.465
L105,Name 105,Bangalore,121409,Graduate,Business in Textile,14279,2215,10709.25,1427.9,14.279,43,BB,5.51,253.83975
L106,Name 106,Bangalore,266172,Ph.D,Private,41010,9247,30757.5,4101,41.01,20,BBB,12.55,771.9
L107,Name 107,Bangalore,720469,Post Graduate,Government,71711,5869,53783.25,7171.1,71.711,43,BB,-1.82,-419.92725
L108,Name 108,Bangalore,201132,Graduate,Business in Auto Parts,41587,6423,31190.25,4158.7,41.587,74,BBB,5.44,1256.6865
L109,Name 109,Bangalore,470863,Ph.D,FreeLancer,55328,5259,41496,5532.8,55.328,30,BB,-0.49,-61.605
L110,Name 110,Bangalore,139191,Post Graduate,Non Profit Organization,18591,8803,13943.25,1859.1,18.591,46,BBB,37.35,2395.6455
L111,Name 111,Bangalore,982368,Graduate,Business in HealthCare,84431,6166,63323.25,8443.1,84.431,72,BB,-2.70,-1229.634
L112,Name 112,Bangalore,755665,Ph.D,Private,83204,3322,62403,8320.4,83.204,47,BBB,-6.01,-1761.936
L113,Name 113,Bangalore,250974,Post Graduate,Business in Education,11006,7227,8254.5,1100.6,11.006,61,BB,55.66,2802.828
L114,Name 114,Bangalore,803872,Graduate,Government,48209,2326,36156.75,4820.9,48.209,92,BBB,-5.18,-1721.481
L115,Name 115,Bangalore,280219,Ph.D,FreeLancer,67698,3753,50773.5,6769.8,67.698,5,BB,-4.46,-113.13
L116,Name 116,Bangalore,534946,Post Graduate,Doctor,40311,9224,30233.25,4031.1,40.311,11,BBB,12.88,428.41425
L117,Name 117,Bangalore,522918,Graduate,Business in HealthCare,54185,5970,40638.75,5418.5,54.185,48,BB,1.02,198.54
L118,Name 118,Bangalore,432893,Ph.D,Business in Textile,97433,1322,73074.75,9743.3,97.433,88,BBB,-8.64,-5558.058
L119,Name 119,Bangalore,542377,Post Graduate,Private,54227,3239,40670.25,5422.7,54.227,79,BB,-4.03,-1293.84225
L120,Name 120,Bangalore,215124,Graduate,Government,53937,7356,40452.75,5393.7,53.937,90,BBB,3.64,1324.5525
L121,Name 121,Bangalore,689417,Ph.D,Business in Auto Parts,63187,2522,47390.25,6318.7,63.187,85,BB,-6.01,-2420.39625
L122,Name 122,Bangalore,803858,Post Graduate,FreeLancer,40852,7659,30639,4085.2,40.852,87,BBB,8.75,2331.9045
L123,Name 123,Bangalore,953079,Graduate,Non Profit Organization,95616,3629,71712,9561.6,95.616,31,BB,-6.20,-1379.3295
L124,Name 124,Bangalore,932558,Ph.D,Business in HealthCare,49788,8996,37341,4978.8,49.788,36,BBB,8.07,1084.644
L125,Name 125,Bangalore,257880,Post Graduate,Private,30922,5187,23191.5,3092.2,30.922,49,BB,6.77,769.839
L126,Name 126,Bangalore,668813,Graduate,Business in Education,71817,1542,53862.75,7181.7,71.817,69,BBB,-7.85,-2918.54475
L127,Name 127,Bangalore,420775,Ph.D,Government,83817,5300,62862.75,8381.7,83.817,94,BB,-3.68,-2172.5985
L128,Name 128,Bangalore,499362,Post Graduate,FreeLancer,29364,6713,22023,2936.4,29.364,75,BBB,12.86,2124.3375
L129,Name 129,Bangalore,213503,Graduate,Doctor,60057,2255,45042.75,6005.7,60.057,100,BB,-6.25,-2813.025
L130,Name 130,Bangalore,599216,Ph.D,Business in HealthCare,30576,1283,22932,3057.6,30.576,100,BBB,-5.80,-1330.95
L131,Name 131,Bangalore,295201,Post Graduate,Business in Textile,89846,6330,67384.5,8984.6,89.846,71,BB,-2.95,-1413.5745
L132,Name 132,Bangalore,758059,Graduate,Private,74353,5121,55764.75,7435.3,74.353,26,BBB,-3.11,-451.2885
L133,Name 133,Bangalore,293376,Ph.D,Government,87799,4620,65849.25,8779.9,87.799,96,BB,-4.74,-2995.128
L134,Name 134,Bangalore,715147,Post Graduate,Business in Auto Parts,38691,6831,29018.25,3869.1,38.691,7,BBB,7.66,155.49975
L135,Name 135,Bangalore,531620,Graduate,FreeLancer,95968,1809,71976,9596.8,95.968,6,BB,-8.11,-350.451
L136,Name 136,Bangalore,859029,Ph.D,Non Profit Organization,15510,6991,11632.5,1551,15.51,30,BBB,35.07,1224
L137,Name 137,Bangalore,585910,Post Graduate,Business in HealthCare,42327,2699,31745.25,4232.7,42.327,89,BB,-3.62,-1023.74475
L138,Name 138,Bangalore,713531,Graduate,Private,59066,4668,44299.5,5906.6,59.066,50,BBB,-2.10,-464.475
L139,Name 139,Bangalore,435223,Ph.D,Business in Education,16845,5858,12633.75,1684.5,16.845,65,BB,24.78,2034.58125
L140,Name 140,Bangalore,774818,Post Graduate,Government,54709,1391,41031.75,5470.9,54.709,67,BBB,-7.46,-2050.14975
L141,Name 141,Bangalore,610522,Graduate,FreeLancer,69299,3384,51974.25,6929.9,69.299,7,BB,-5.12,-186.15975
L142,Name 142,Bangalore,409471,Ph.D,Doctor,96080,3500,72060,9608,96.08,96,BBB,-6.36,-4397.76
L143,Name 143,Bangalore,900464,Post Graduate,Business in HealthCare,83500,8020,62625,8350,83.5,65,BB,-0.40,-160.875
L144,Name 144,Bangalore,140085,Graduate,Business in Textile,45608,2813,34206,4560.8,45.608,73,BBB,-3.83,-956.9205
L145,Name 145,Bangalore,132629,Ph.D,Private,18611,4548,13958.25,1861.1,18.611,75,BB,14.44,1511.38125
L146,Name 146,Bangalore,743125,Post Graduate,Government,35098,8751,26323.5,3509.8,35.098,84,BBB,14.93,3301.956
L147,Name 147,Bangalore,155721,Graduate,Business in Auto Parts,80827,2922,60620.25,8082.7,80.827,72,BB,-6.38,-2786.778
L148,Name 148,Bangalore,709524,Ph.D,FreeLancer,41743,5492,31307.25,4174.3,41.743,39,BBB,3.16,385.42725
L149,Name 149,Bangalore,839052,Post Graduate,Non Profit Organization,35158,1239,26368.5,3515.8,35.158,2,BB,-6.48,-34.152
L150,Name 150,Bangalore,208855,Graduate,Business in HealthCare,10186,6067,7639.5,1018.6,10.186,69,BBB,49.56,2612.547
L151,Name 151,Bangalore,704430,Ph.D,Private,86793,8369,65094.75,8679.3,86.793,9,BB,-0.36,-20.94525
L152,Name 152,Bangalore,210889,Post Graduate,Business in Education,43305,2792,32478.75,4330.5,43.305,99,BBB,-3.55,-1142.33625
L153,Name 153,Bangalore,123767,Graduate,Government,17665,1046,13248.75,1766.5,17.665,93,BB,-4.08,-502.54875
L154,Name 154,Bangalore,728376,Ph.D,FreeLancer,82824,1461,62118,8282.4,82.824,90,BBB,-8.24,-4604.445
L155,Name 155,Bangalore,900592,Post Graduate,Doctor,12088,5260,9066,1208.8,12.088,1,BB,33.51,30.384
L156,Name 156,Bangalore,331100,Graduate,Business in HealthCare,89353,1071,67014.75,8935.3,89.353,48,BBB,-8.80,-2831.148
L157,Name 157,Bangalore,121303,Ph.D,Business in Textile,87154,4839,65365.5,8715.4,87.154,96,BB,-4.45,-2791.008
L158,Name 158,Bangalore,411741,Post Graduate,Private,74707,5570,56030.25,7470.7,74.707,49,BBB,-2.54,-698.50725
L159,Name 159,Bangalore,265911,Graduate,Government,30305,8682,22728.75,3030.5,30.305,58,BB,18.65,2458.4025
L160,Name 160,Bangalore,849253,Ph.D,Business in Auto Parts,79736,1607,59802,7973.6,79.736,70,BBB,-7.98,-3342.465
L161,Name 161,Bangalore,307900,Post Graduate,FreeLancer,53138,8125,39853.5,5313.8,53.138,5,BB,5.29,105.42
L162,Name 162,Bangalore,452124,Graduate,Non Profit Organization,32423,2037,24317.25,3242.3,32.423,25,BBB,-3.72,-225.99375
L163,Name 163,Bangalore,259949,Ph.D,Business in HealthCare,53080,6831,39810,5308,53.08,16,BB,2.87,182.76
L164,Name 164,Bangalore,393294,Post Graduate,Private,10646,7960,7984.5,1064.6,10.646,7,BBB,64.77,362.0085
L165,Name 165,Bangalore,950528,Graduate,Business in Education,59537,6808,44652.75,5953.7,59.537,8,BB,1.43,51.258
L166,Name 166,Bangalore,733799,Ph.D,Government,63543,5538,47657.25,6354.3,63.543,32,BBB,-1.28,-195.912
L167,Name 167,Bangalore,316701,Post Graduate,FreeLancer,30818,8529,23113.5,3081.8,30.818,94,BB,17.68,3840.276
L168,Name 168,Bangalore,989003,Graduate,Doctor,24128,3740,18096,2412.8,24.128,74,BBB,5.50,736.596
L169,Name 169,Bangalore,736747,Ph.D,Business in HealthCare,15358,5775,11518.5,1535.8,15.358,16,BB,27.60,508.704
L170,Name 170,Bangalore,172449,Post Graduate,Business in Textile,17035,2906,12776.25,1703.5,17.035,93,BBB,7.06,838.74375
L171,Name 171,Bangalore,155718,Graduate,Private,59906,7967,44929.5,5990.6,59.906,31,BB,3.30,459.513
L172,Name 172,Bangalore,367874,Ph.D,Government,36074,2813,27055.5,3607.4,36.074,78,BBB,-2.20,-464.724
L173,Name 173,Bangalore,307629,Post Graduate,Business in Auto Parts,47240,9458,35430,4724,47.24,75,BB,10.02,2662.875
L174,Name 174,Bangalore,227916,Graduate,FreeLancer,63545,1629,47658.75,6354.5,63.545,41,BBB,-7.44,-1453.09125
L175,Name 175,Bangalore,633934,Ph.D,Non Profit Organization,21432,7158,16074,2143.2,21.432,54,BB,23.40,2030.994
L176,Name 176,Bangalore,991505,Post Graduate,Business in HealthCare,27162,3762,20371.5,2716.2,27.162,57,BBB,3.85,447.0795
L177,Name 177,Bangalore,418148,Graduate,Private,67722,4860,50791.5,6772.2,67.722,25,BB,-2.82,-358.5375
L178,Name 178,Bangalore,667795,Ph.D,Business in Education,99186,3272,74389.5,9918.6,99.186,78,BBB,-6.70,-3888.261
L179,Name 179,Bangalore,681856,Post Graduate,Government,63608,8215,47706,6360.8,63.608,31,BB,2.92,431.1015
L180,Name 180,Bangalore,928447,Graduate,FreeLancer,52144,1269,39108,5214.4,52.144,42,BBB,-7.57,-1242.801
L181,Name 181,Bangalore,586609,Ph.D,Doctor,74989,7679,56241.75,7498.9,74.989,37,BB,0.24,49.97775
L182,Name 182,Bangalore,528793,Post Graduate,Business in HealthCare,91215,2858,68411.25,9121.5,91.215,48,BBB,-6.87,-2254.86
L183,Name 183,Bangalore,101106,Graduate,Business in Textile,47169,5352,35376.75,4716.9,47.169,9,BB,1.35,42.86925
L184,Name 184,Bangalore,255401,Ph.D,Private,10687,6246,8015.25,1068.7,10.687,83,BBB,48.44,3222.86925
L185,Name 185,Bangalore,432989,Post Graduate,Government,12763,3673,9572.25,1276.3,12.763,19,BB,18.78,341.52975
L186,Name 186,Bangalore,131247,Graduate,Business in Auto Parts,99998,2779,74998.5,9999.8,99.998,42,BBB,-7.22,-2274.552
L187,Name 187,Bangalore,552297,Ph.D,FreeLancer,24158,6522,18118.5,2415.8,24.158,67,BB,17.00,2063.3655
L188,Name 188,Bangalore,448273,Post Graduate,Non Profit Organization,53616,8677,40212,5361.6,53.616,84,BBB,6.18,2088.702
L189,Name 189,Bangalore,244240,Graduate,Business in HealthCare,44650,4516,33487.5,4465,44.65,19,BB,0.11,7.2675
L190,Name 190,Bangalore,180029,Ph.D,Private,61584,2375,46188,6158.4,61.584,18,BBB,-6.14,-510.759
L191,Name 191,Bangalore,161937,Post Graduate,Business in Education,75968,5871,56976,7596.8,75.968,23,BB,-2.27,-297.7005
L192,Name 192,Bangalore,851147,Graduate,Government,89409,2955,67056.75,8940.9,89.409,20,BBB,-6.69,-897.885
L193,Name 193,Bangalore,523851,Ph.D,FreeLancer,21291,4458,15968.25,2129.1,21.291,50,BB,10.94,873.3375
L194,Name 194,Bangalore,574392,Post Graduate,Doctor,37072,8029,27804,3707.2,37.072,67,BBB,11.66,2171.7045
L195,Name 195,Bangalore,195384,Graduate,Business in HealthCare,61596,9591,46197,6159.6,61.596,58,BB,5.57,1492.659
L196,Name 196,Bangalore,788067,Ph.D,Business in Textile,23979,8668,17984.25,2397.9,23.979,80,BBB,26.15,3762.06
L197,Name 197,Bangalore,996622,Post Graduate,Private,49313,6702,36984.75,4931.3,49.313,44,BB,3.59,584.331
L198,Name 198,Bangalore,907108,Graduate,Government,60823,2927,45617.25,6082.3,60.823,100,BBB,-5.19,-2366.475
L199,Name 199,Bangalore,755405,Ph.D,Business in Auto Parts,85234,2273,63925.5,8523.4,85.234,53,BB,-7.33,-2484.534
L200,Name 200,Bangalore,275372,Post Graduate,FreeLancer,25631,2098,19223.25,2563.1,25.631,15,BBB,-1.81,-52.32375
L201,Name 201,Chennai,710518,Graduate,FreeLancer,47592,2851,35694,4759.2,47.592,18,B,-4.01,-257.607
L202,Name 202,Chennai,400017,Ph.D,Doctor,88909,6318,66681.75,8890.9,88.909,16,C,-2.89,-308.748
L203,Name 203,Chennai,143481,Post Graduate,Non Profit Organization,76084,4634,57063,7608.4,76.084,11,B,-3.91,-245.388
L204,Name 204,Chennai,447379,Graduate,Business in HealthCare,45168,6270,33876,4516.8,45.168,86,C,3.88,1130.814
L205,Name 205,Chennai,707588,Ph.D,Business in Textile,42601,8181,31950.75,4260.1,42.601,46,B,9.20,1352.7105
L206,Name 206,Chennai,743375,Post Graduate,Private,99501,9203,74625.75,9950.1,99.501,12,C,-0.75,-67.239
L207,Name 207,Chennai,795354,Graduate,Business in Education,12308,1939,9231,1230.8,12.308,31,B,5.75,164.6565
L208,Name 208,Chennai,195418,Ph.D,Government,78107,4686,58580.25,7810.7,78.107,34,C,-4.00,-796.7985
L209,Name 209,Chennai,548928,Post Graduate,Business in Auto Parts,52010,3536,39007.5,5201,52.01,39,B,-3.20,-487.0125
L210,Name 210,Chennai,989651,Graduate,FreeLancer,74941,8492,56205.75,7494.1,74.941,94,C,1.33,703.5195
L211,Name 211,Chennai,493088,Ph.D,Non Profit Organization,95374,2374,71530.5,9537.4,95.374,70,B,-7.51,-3760.785
L212,Name 212,Chennai,768486,Post Graduate,Business in HealthCare,81125,3059,60843.75,8112.5,81.125,30,C,-6.23,-1137.0375
L213,Name 213,Chennai,447721,Graduate,Private,54742,7777,41056.5,5474.2,54.742,17,B,4.21,293.607
L214,Name 214,Chennai,733374,Ph.D,Business in Education,93524,7569,70143,9352.4,93.524,90,C,-1.91,-1203.795
L215,Name 215,Chennai,201097,Post Graduate,Government,16462,5005,12346.5,1646.2,16.462,100,B,20.40,2519.1
L216,Name 216,Chennai,353672,Graduate,FreeLancer,49245,2686,36933.75,4924.5,49.245,9,C,-4.55,-151.09875
